epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,415.417,1.59795,0.62033,1.17997,0.7493,0.90323,0.79294,0.37099,1.86896,0.87436,1.46143,0.0008516,0.0008516,0.0008516
60,422.42,1.63969,0.64056,1.15492,0.69981,0.83871,0.78468,0.36277,1.91723,0.90205,1.48848,0.0008318,0.0008318,0.0008318
61,429.389,1.594,0.64165,1.14665,0.72655,0.87097,0.77405,0.35232,1.91541,0.94407,1.49681,0.000812,0.000812,0.000812
62,436.415,1.59043,0.63799,1.18842,0.70017,0.83871,0.743,0.35679,1.91193,0.87839,1.50909,0.0007922,0.0007922,0.0007922
63,443.292,1.58895,0.61149,1.17211,0.69879,0.83871,0.74579,0.35548,1.89394,0.86922,1.48156,0.0007724,0.0007724,0.0007724
64,450.28,1.5918,0.61905,1.16527,0.71918,0.83871,0.74327,0.33324,1.96069,0.93988,1.50193,0.0007526,0.0007526,0.0007526
65,457.173,1.61408,0.60487,1.17792,0.74382,0.87097,0.75525,0.32174,1.95881,0.93577,1.49548,0.0007328,0.0007328,0.0007328
66,464.148,1.56202,0.59681,1.14857,0.72438,0.87097,0.71484,0.35394,1.87375,0.88916,1.46925,0.000713,0.000713,0.000713
67,471.017,1.58611,0.60848,1.17914,0.72045,0.87097,0.7372,0.3516,1.88368,0.90158,1.47646,0.0006932,0.0006932,0.0006932
68,477.986,1.58418,0.61233,1.12712,0.72211,0.87097,0.74449,0.34004,1.86072,0.87809,1.46809,0.0006734,0.0006734,0.0006734
69,484.864,1.58485,0.60602,1.17199,0.749,0.87097,0.74637,0.33036,1.83394,0.87235,1.45532,0.0006536,0.0006536,0.0006536
70,491.841,1.54913,0.60688,1.13619,0.74039,0.87097,0.7151,0.34095,1.84288,0.86772,1.45933,0.0006338,0.0006338,0.0006338
71,498.707,1.53991,0.60266,1.12982,0.76856,0.90323,0.75865,0.33575,1.84255,0.868,1.4586,0.000614,0.000614,0.000614
72,505.682,1.56809,0.60418,1.13333,0.76841,0.90323,0.74856,0.3518,1.82561,0.85044,1.4412,0.0005942,0.0005942,0.0005942
73,512.517,1.57831,0.59529,1.15242,0.7654,0.90323,0.75033,0.34517,1.81262,0.84363,1.44166,0.0005744,0.0005744,0.0005744
74,519.516,1.55926,0.59828,1.13645,0.75778,0.90323,0.7455,0.34943,1.84746,0.82907,1.4558,0.0005546,0.0005546,0.0005546
75,526.401,1.55767,0.58793,1.18022,0.76744,0.90323,0.73667,0.34731,1.85712,0.82661,1.46402,0.0005348,0.0005348,0.0005348
76,533.326,1.53594,0.58945,1.15781,0.74581,0.87097,0.7292,0.3678,1.80173,0.83298,1.44838,0.000515,0.000515,0.000515
77,540.173,1.54475,0.59442,1.13593,0.77304,0.90323,0.77794,0.38854,1.80417,0.82754,1.44655,0.0004952,0.0004952,0.0004952
78,547.477,1.5409,0.59261,1.13717,0.76672,0.87097,0.77822,0.36751,1.87243,0.83792,1.45637,0.0004754,0.0004754,0.0004754
79,554.382,1.49578,0.58904,1.12632,0.76711,0.87097,0.76345,0.32976,1.91369,0.85235,1.46418,0.0004556,0.0004556,0.0004556
80,561.358,1.50799,0.57171,1.15185,0.75422,0.90323,0.78751,0.3857,1.86063,0.83251,1.45814,0.0004358,0.0004358,0.0004358
81,568.303,1.52647,0.58213,1.1259,0.75524,0.90323,0.77868,0.37763,1.86374,0.82897,1.4574,0.000416,0.000416,0.000416
82,575.342,1.51485,0.56773,1.14969,0.72948,0.86991,0.75162,0.36871,1.8606,0.82239,1.46545,0.0003962,0.0003962,0.0003962
83,582.252,1.5046,0.56129,1.1609,0.72803,0.87097,0.74569,0.34902,1.87152,0.82021,1.47919,0.0003764,0.0003764,0.0003764
84,589.185,1.52809,0.58113,1.13302,0.7273,0.87097,0.7474,0.37861,1.82862,0.81423,1.45559,0.0003566,0.0003566,0.0003566
85,596.083,1.44809,0.54913,1.12169,0.72739,0.87097,0.74501,0.38881,1.80922,0.80877,1.44027,0.0003368,0.0003368,0.0003368
86,603.41,1.50546,0.57017,1.11782,0.7282,0.87097,0.73581,0.38644,1.78472,0.8193,1.41712,0.000317,0.000317,0.000317
87,610.279,1.4932,0.56739,1.15344,0.7283,0.87097,0.73698,0.37541,1.78365,0.82357,1.41393,0.0002972,0.0002972,0.0002972
88,617.305,1.46849,0.55182,1.12142,0.75674,0.90316,0.75926,0.38616,1.77204,0.84039,1.40735,0.0002774,0.0002774,0.0002774
89,624.186,1.47035,0.55646,1.13779,0.75628,0.90096,0.77859,0.39719,1.7735,0.85046,1.40624,0.0002576,0.0002576,0.0002576
90,631.566,1.45676,0.54427,1.11658,0.75599,0.89957,0.77909,0.41033,1.80217,0.88402,1.41596,0.0002378,0.0002378,0.0002378
91,639.566,1.46933,0.54319,1.20555,0.76088,0.87097,0.78507,0.41157,1.79846,0.88389,1.41939,0.000218,0.000218,0.000218
92,646.953,1.44303,0.51509,1.14739,0.73392,0.83871,0.76901,0.4,1.80553,0.85647,1.42512,0.0001982,0.0001982,0.0001982
93,653.838,1.44396,0.51161,1.19215,0.71535,0.83871,0.76644,0.40792,1.80439,0.84285,1.43135,0.0001784,0.0001784,0.0001784
94,660.767,1.46123,0.51214,1.19417,0.73907,0.83871,0.77953,0.40827,1.79368,0.82847,1.43978,0.0001586,0.0001586,0.0001586
95,667.569,1.41737,0.49787,1.14386,0.73988,0.83871,0.77953,0.41061,1.78183,0.83836,1.42985,0.0001388,0.0001388,0.0001388
96,674.443,1.43839,0.5088,1.178,0.74031,0.83871,0.77559,0.41874,1.78114,0.83854,1.43012,0.000119,0.000119,0.000119
97,681.574,1.43669,0.49416,1.19016,0.74028,0.83871,0.76776,0.42695,1.77352,0.83513,1.42747,9.92e-05,9.92e-05,9.92e-05
98,688.821,1.46747,0.49631,1.20258,0.74004,0.83871,0.7609,0.41327,1.77559,0.82836,1.42614,7.94e-05,7.94e-05,7.94e-05
99,695.618,1.42325,0.50029,1.16255,0.73994,0.83871,0.76039,0.41126,1.77519,0.82297,1.42539,5.96e-05,5.96e-05,5.96e-05
100,702.548,1.44417,0.50554,1.16346,0.73988,0.83871,0.76663,0.42568,1.77287,0.80445,1.42351,3.98e-05,3.98e-05,3.98e-05
